date,SEK
2014-08-06,1335
2014-09-08, 897
2014-10-06, 995
2014-11-05,1178
2014-12-08,1240
2015-01-07,1683
2015-02-05,1638
2015-03-06,1388
2015-04-08,1375
2015-05-06,1178
2015-06-08,1092
2015-07-07, 960
2015-08-06, 907
2015-09-08, 886
2015-10-06,1004
2015-11-06,1281
2015-12-08,1337
2016-01-08,1551
2016-02-08,2161
2016-03-08,1536
2016-04-07,1449
2016-05-11,1240
2016-06-08,1027
2016-07-08, 806
2016-08-09, 772
2016-09-07, 951
2016-10-07,1023
2016-11-09,1260
2016-12-08,1525
2017-01-10,1810
2017-02-08,1977
2017-03-08,1605
2017-04-10,1539
2017-05-09,1409
2017-06-09,1183
2017-07-10, 966
2017-08-08, 897
2017-09-08, 933
2017-10-09,1074
2017-11-08,1215
2017-12-08,1400
2018-01-09,1702
2018-02-08,1860
2018-03-07,1837
2018-04-09,1844
2018-05-09,1284
2018-06-08, 985
2018-07-09, 832
2018-08-08, 830
2018-09-10, 876
2018-10-08,1003
2018-11-08,1278
2018-12-11,1512
2019-01-09,1441
2019-02-07,1982
2019-03-07,1463
2019-04-08,1553
2019-05-09,1304
2019-06-11,1185
2019-07-09, 928
2019-08-08, 917
2019-09-06, 903
2019-10-07,1084
2019-11-08,1320
2019-12-06,1408
2020-01-09,1567
2020-02-10,1565
2020-03-09,1460
2020-04-08,1511
2020-05-11,1307
2020-06-08,1231
2020-07-08, 904
2020-08-10, 825
2020-09-08, 991
2020-10-08,1173
2020-11-09,1249
2020-12-08,1325
2021-01-12,1609
2021-02-08,2485
2021-03-08,2686
2021-04-12,1775
2021-05-10,1578
2021-06-08,1468
2021-07-08,1020
2021-08-09,1140
2021-09-07,1280
2021-10-07,1691
2021-11-07,1191
2021-12-07,2512
2022-01-10,5751
